"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.00682259546743971,0.0801452565709534,0.000416271282675701,0.00390634267965054,0.0286279330114054,0.103323449946374
10000,0.00509071584687139,0.0415078959620076,0.000288394090123267,0.0020084459466663,0.0142560467225657,0.0510859088763156
20000,0.00251029868946465,0.0267056140466056,0.000241413467711778,0.000592084690065884,0.0127013127143639,0.0371247702457483
1e+05,0.00102669007714093,0.00535336284731219,0.000301158533357331,0.000106483773970872,0.00720408419836192,0.00800699938338454
