"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.00686018776219159,0.0801452565709534,0.000416271913261455,0.00390634267965054,0.0286279327473889,0.103323449946374
10000,0.00508937702179996,0.0415078959620076,0.000288394181833908,0.0020084459466663,0.0142560440919984,0.0510859088763156
20000,0.00252902607026162,0.0267056140466056,0.000241413641794975,0.000592084690065884,0.0127013076379951,0.0371247702457483
1e+05,0.00102116302604488,0.00535336284731219,0.000301158754969664,0.000106483773970872,0.00720408390719609,0.00800699938338454
