"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.018484367458372,0.0778009507479618,0.0146054285227805,0.0501034504403906,0.0196401446176802,0.0898527961103712
10000,0.00810977929428659,0.05233271941815,0.0112637633871929,0.0357714078587834,0.00999045040864226,0.0610608978331815
20000,0.0083228668985231,0.0213912652624546,0.00803049257822288,0.00830919666574047,0.0107858339947055,0.0252374348910542
1e+05,0.00272047706905896,0.00680528178577458,0.00331774732347402,0.0168636205363445,0.0044991415014147,0.00470143153325234
