"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.00683347424207121,0.0801452565709534,0.000416272166224836,0.00390634267965054,0.0286279379982167,0.103323449946374
10000,0.0051106430617773,0.0415078959620076,0.000288394508662055,0.0020084459466663,0.0142560485943918,0.0510859088763156
20000,0.0025370855357954,0.0267056140466056,0.000241413670096145,0.000592084690065884,0.0127013135851136,0.0371247702457483
1e+05,0.000987586557963139,0.00535336284731219,0.0003011591922579,0.000106483773970872,0.00720408367420579,0.00800699938338454
