"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.0186047099708127,0.0778009507479618,0.0146054306082676,0.0501034504403906,0.0196401510983029,0.0898527961103712
10000,0.00807892437361693,0.05233271941815,0.0112637669021869,0.0357714078587834,0.0099904506774894,0.0610608978331815
20000,0.00836981716964014,0.0213912652624546,0.00803049339236044,0.00830919666574047,0.0107858346578857,0.0252374348910542
1e+05,0.00280869753588061,0.00680528178577458,0.00331774553329718,0.0168636205363445,0.00449914168632075,0.00470143153325234
