"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.0185685984350064,0.0778009507479618,0.0146054308261526,0.0501034504403906,0.0196401495255133,0.0898527961103712
10000,0.00830538036926939,0.05233271941815,0.0112637647857979,0.0357714078587834,0.00999044953609344,0.0610608978331815
20000,0.00836184269129991,0.0213912652624546,0.00803049559721348,0.00830919666574047,0.010785835646891,0.0252374348910542
1e+05,0.00284411457859777,0.00680528178577458,0.00331774764342795,0.0168636205363445,0.0044991444667461,0.00470143153325234
