"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.00683698017472276,0.0801452565709534,0.000416271005473833,0.00390634267965054,0.0286279397935192,0.103323449946374
10000,0.00506827972056099,0.0415078959620076,0.000288393983276409,0.0020084459466663,0.0142560424447894,0.0510859088763156
20000,0.00256958640605837,0.0267056140466056,0.000241413612936729,0.000592084690065884,0.0127013105407646,0.0371247702457483
1e+05,0.00101393757058134,0.00535336284731219,0.000301159093577017,0.000106483773970872,0.00720408487862558,0.00800699938338454
