"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.00684369721700181,0.0801452565709534,0.000416271227063939,0.00390634267965054,0.0286279402546927,0.103323449946374
10000,0.00513380717458664,0.0415078959620076,0.000288394328700909,0.0020084459466663,0.0142560438945267,0.0510859088763156
20000,0.00251510146240156,0.0267056140466056,0.000241413606160769,0.000592084690065884,0.01270130554785,0.0371247702457483
1e+05,0.00100852024672566,0.00535336284731219,0.000301158840320233,0.000106483773970872,0.00720408466044242,0.00800699938338454
