"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.0184550394743844,0.0778009507479618,0.0146054268853551,0.0501034504403906,0.0196401536183567,0.0898527961103712
10000,0.00809507244566093,0.05233271941815,0.0112637679051363,0.0357714078587834,0.00999045262754151,0.0610608978331815
20000,0.00839001564938634,0.0213912652624546,0.00803049243921652,0.00830919666574047,0.01078583398741,0.0252374348910542
1e+05,0.00277702530527899,0.00680528178577458,0.00331774447439545,0.0168636205363445,0.00449914406701045,0.00470143153325234
