"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.0068293278340485,0.0801452565709534,0.000416271278731851,0.00390634267965054,0.0286279260045209,0.103323449946374
10000,0.00505016760508196,0.0415078959620076,0.000288394327633909,0.0020084459466663,0.0142560459171512,0.0510859088763156
20000,0.0025263341519345,0.0267056140466056,0.000241413439762718,0.000592084690065884,0.0127013109655592,0.0371247702457483
1e+05,0.00101915666196798,0.00535336284731219,0.000301158954122796,0.000106483773970872,0.00720408671715442,0.00800699938338454
