"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.018420675819915,0.0778009507479618,0.0146054283479752,0.0501034504403906,0.0196401461704615,0.0898527961103712
10000,0.00806558710602042,0.05233271941815,0.011263766730892,0.0357714078587834,0.00999044863126682,0.0610608978331815
20000,0.00836822517407819,0.0213912652624546,0.00803049668588571,0.00830919666574047,0.0107858357221527,0.0252374348910542
1e+05,0.00281085994849888,0.00680528178577458,0.00331774269238711,0.0168636205363445,0.0044991428964268,0.00470143153325234
