"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.00384416051993594,0.0692452674295362,0.000361610555697081,0.00134937075513234,0.0260677262181281,0.106464333610018
10000,0.00497564196237035,0.0415078959620076,0.000288394050310501,0.0020084459466663,0.0142560434499317,0.0510859088763156
20000,0.00255595594893353,0.0267056140466056,0.000241413526423481,0.000592084690065884,0.0127013104672792,0.0371247702457483
1e+05,0.00103688200196565,0.00535336284731219,0.000301159078808361,0.000106483773970872,0.00720408507237349,0.00800699938338454
