"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.00682436033828667,0.0801452565709534,0.000416271036007178,0.00390634267965054,0.0286279466104655,0.103323449946374
10000,0.0050892991282849,0.0415078959620076,0.000288394168960817,0.0020084459466663,0.0142560441270303,0.0510859088763156
20000,0.00255603815537056,0.0267056140466056,0.000241413265545679,0.000592084690065884,0.0127013119108894,0.0371247702457483
1e+05,0.00099794316569601,0.00535336284731219,0.000301158817546882,0.000106483773970872,0.00720408444665552,0.00800699938338454
