"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.0186721268855758,0.0778009507479618,0.0146054309134857,0.0501034504403906,0.0196401471271197,0.0898527961103712
10000,0.00812286318707226,0.05233271941815,0.0112637651352455,0.0357714078587834,0.00999045284489904,0.0610608978331815
20000,0.00854878372802759,0.0213912652624546,0.00803049472336043,0.00830919666574047,0.0107858349522009,0.0252374348910542
1e+05,0.00279273318350097,0.00680528178577458,0.00331774346948603,0.0168636205363445,0.00449914638862404,0.00470143153325234
