"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.0185231902662826,0.0778009507479618,0.0146054269234094,0.0501034504403906,0.0196401492529169,0.0898527961103712
10000,0.0080620684798598,0.05233271941815,0.0112637621206903,0.0357714078587834,0.00999045110925798,0.0610608978331815
20000,0.00840353324125956,0.0213912652624546,0.00803049452184024,0.00830919666574047,0.0107858351140909,0.0252374348910542
1e+05,0.00278489261231342,0.00680528178577458,0.00331774555807305,0.0168636205363445,0.0044991424467943,0.00470143153325234
