"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.00682050665486024,0.0801452565709534,0.000416271244151502,0.00390634267965054,0.0286279420947169,0.103323449946374
10000,0.00517025872009668,0.0415078959620076,0.000288394501561744,0.0020084459466663,0.0142560452897923,0.0510859088763156
20000,0.00254729052066607,0.0267056140466056,0.000241413363726229,0.000592084690065884,0.0127013090225407,0.0371247702457483
1e+05,0.00103687770922572,0.00535336284731219,0.00030115895597117,0.000106483773970872,0.00720408457639142,0.00800699938338454
