"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.00684362505304067,0.0801452565709534,0.000416271412551395,0.00390634267965054,0.0286279323397738,0.103323449946374
10000,0.00506637852137451,0.0415078959620076,0.000288394421496453,0.0020084459466663,0.0142560453656585,0.0510859088763156
20000,0.00248610982222452,0.0267056140466056,0.000241413500594823,0.000592084690065884,0.0127013106894257,0.0371247702457483
1e+05,0.00105821184863898,0.00535336284731219,0.000301158795659028,0.000106483773970872,0.00720408486147407,0.00800699938338454
