"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.00683655841325948,0.0801452565709534,0.000416270876908011,0.00390634267965054,0.0286279382829631,0.103323449946374
10000,0.00503654348312334,0.0415078959620076,0.000288394200180634,0.0020084459466663,0.0142560416057179,0.0510859088763156
20000,0.0025414892040799,0.0267056140466056,0.000241413469826135,0.000592084690065884,0.0127013077977033,0.0371247702457483
1e+05,0.00100283751662939,0.00535336284731219,0.000301159261281494,0.000106483773970872,0.00720408864810196,0.00800699938338454
