"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.00687834739264838,0.0801452565709534,0.000416271558609658,0.00390634267965054,0.0286279363950803,0.103323449946374
10000,0.00513432063895786,0.0415078959620076,0.000288394184851338,0.0020084459466663,0.0142560462284584,0.0510859088763156
20000,0.00255329772539004,0.0267056140466056,0.000241413524455082,0.000592084690065884,0.0127013099368532,0.0371247702457483
1e+05,0.00103622179041313,0.00535336284731219,0.000301158976183087,0.000106483773970872,0.00720408465255492,0.00800699938338454
