"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.0186221817320177,0.0778009507479618,0.014605417803441,0.0501034504403906,0.0196401532689233,0.0898527961103712
10000,0.00805319671404413,0.05233271941815,0.0112637621055352,0.0357714078587834,0.00999045104089968,0.0610608978331815
20000,0.00822725575439809,0.0213912652624546,0.00803049673361104,0.00830919666574047,0.0107858350413394,0.0252374348910542
1e+05,0.00282717881755319,0.00680528178577458,0.00331774515531884,0.0168636205363445,0.00449914257834856,0.00470143153325234
