"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.00684261164389746,0.0801452565709534,0.000416271375522783,0.00390634267965054,0.0286279311622215,0.103323449946374
10000,0.00510297588253623,0.0415078959620076,0.000288394294521817,0.0020084459466663,0.0142560435561963,0.0510859088763156
20000,0.00249387860992078,0.0267056140466056,0.000241413599248108,0.000592084690065884,0.0127013115532531,0.0371247702457483
1e+05,0.00102508874313005,0.00535336284731219,0.000301159014151209,0.000106483773970872,0.00720408676358655,0.00800699938338454
