"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.0186905193232418,0.0778009507479618,0.0146054295351058,0.0501034504403906,0.019640148372696,0.0898527961103712
10000,0.00807067283013651,0.05233271941815,0.0112637637619678,0.0357714078587834,0.00999044751925276,0.0610608978331815
20000,0.00838557714311077,0.0213912652624546,0.00803049675014376,0.00830919666574047,0.0107858344506603,0.0252374348910542
1e+05,0.00285056220164316,0.00680528178577458,0.00331774451517064,0.0168636205363445,0.00449914628585895,0.00470143153325234
