"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.0185015123405869,0.0778009507479618,0.0146054281735877,0.0501034504403906,0.0196401519438806,0.0898527961103712
10000,0.00814716247389668,0.05233271941815,0.0112637650623599,0.0357714078587834,0.00999044695963771,0.0610608978331815
20000,0.00840955630570633,0.0213912652624546,0.0080304960481224,0.00830919666574047,0.0107858375901313,0.0252374348910542
1e+05,0.00279202278211306,0.00680528178577458,0.00331774642905475,0.0168636205363445,0.00449914225382729,0.00470143153325234
