"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.018439840523639,0.0778009507479618,0.0146054321716325,0.0501034504403906,0.0196401471465177,0.0898527961103712
10000,0.00815762476881479,0.05233271941815,0.0112637652209171,0.0357714078587834,0.00999044693893443,0.0610608978331815
20000,0.00845527732280373,0.0213912652624546,0.0080304955703245,0.00830919666574047,0.0107858357589842,0.0252374348910542
1e+05,0.00280573981058293,0.00680528178577458,0.00331774637313604,0.0168636205363445,0.00449914231552082,0.00470143153325234
