"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.0184161770913946,0.0778009507479618,0.0146054271321445,0.0501034504403906,0.0196401548640801,0.0898527961103712
10000,0.00810644113685906,0.05233271941815,0.0112637634466573,0.0357714078587834,0.0099904486520961,0.0610608978331815
20000,0.00833966448564851,0.0213912652624546,0.00803049732656788,0.00830919666574047,0.0107858348680145,0.0252374348910542
1e+05,0.00289342444162319,0.00680528178577458,0.0033177445455661,0.0168636205363445,0.00449914287061895,0.00470143153325234
