"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.0208390625292821,0.0819502869265821,0.0341600966021075,0.0588524902431904,0.0240265986531841,0.0893784948194815
10000,0.00811460237015447,0.05233271941815,0.0112637626702653,0.0357714078587834,0.00999044679307973,0.0610608978331815
20000,0.00836110615770918,0.0213912652624546,0.00803049740944407,0.00830919666574047,0.0107858328992548,0.0252374348910542
1e+05,0.00285962615232917,0.00680528178577458,0.00331774304923113,0.0168636205363445,0.00449914310095372,0.00470143153325234
