"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,1.43186593745163,0.658188814103043,0.0476820189723587,0.0465613234795097,19.6058855200231,4.73099906963125
10000,NA,NA,NA,NA,NA,NA
20000,NA,NA,NA,NA,NA,NA
1e+05,NA,NA,NA,NA,NA,NA
