"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.0185481673123003,0.0778009507479618,0.0146054309822561,0.0501034504403906,0.0196401463887077,0.0898527961103712
10000,0.00813892432725566,0.05233271941815,0.0112637652335076,0.0357714078587834,0.00999044830761518,0.0610608978331815
20000,0.00837410695318368,0.0213912652624546,0.00803049202767069,0.00830919666574047,0.0107858332523095,0.0252374348910542
1e+05,0.00275747948964143,0.00680528178577458,0.00331774697532331,0.0168636205363445,0.00449914350938828,0.00470143153325234
