"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.00687202819902293,0.0801452565709534,0.000416272071701393,0.00390634267965054,0.0286279337859237,0.103323449946374
10000,0.00510301100890466,0.0415078959620076,0.000288393873516396,0.0020084459466663,0.0142560464951947,0.0510859088763156
20000,0.0025644514683209,0.0267056140466056,0.000241413872779067,0.000592084690065884,0.012701311138698,0.0371247702457483
1e+05,0.00108938760716169,0.00535336284731219,0.000301159092811012,0.000106483773970872,0.00720408644322042,0.00800699938338454
