"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.00684449974297161,0.0801452565709534,0.0004162720508709,0.00390634267965054,0.0286279299843642,0.103323449946374
10000,0.00504021241040858,0.0415078959620076,0.000288394077451947,0.0020084459466663,0.0142560447626258,0.0510859088763156
20000,0.00258376032637428,0.0267056140466056,0.000241413414900273,0.000592084690065884,0.012701307364572,0.0371247702457483
1e+05,0.0010963084192855,0.00535336284731219,0.000301159305261144,0.000106483773970872,0.0072040866737207,0.00800699938338454
