"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.01852928176272,0.0778009507479618,0.0146054265884291,0.0501034504403906,0.0196401459152983,0.0898527961103712
10000,0.00814673285376524,0.05233271941815,0.0112637613351691,0.0357714078587834,0.00999044709847999,0.0610608978331815
20000,0.00841219074499099,0.0213912652624546,0.00803049220494763,0.00830919666574047,0.0107858373317977,0.0252374348910542
1e+05,0.00276947395645995,0.00680528178577458,0.00331774653287961,0.0168636205363445,0.00449914117983932,0.00470143153325234
