"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.0187004202647231,0.0778009507479618,0.0146054354647264,0.0501034504403906,0.0196401511355051,0.0898527961103712
10000,0.00812778641087622,0.05233271941815,0.0112637670521855,0.0357714078587834,0.00999045034859041,0.0610608978331815
20000,0.00841285225892475,0.0213912652624546,0.00803049356130283,0.00830919666574047,0.0107858327731382,0.0252374348910542
1e+05,0.00276528437003138,0.00680528178577458,0.00331774506324214,0.0168636205363445,0.00449914470476379,0.00470143153325234
