"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.00682887933213223,0.0801452565709534,0.000416270673905773,0.00390634267965054,0.028627935193799,0.103323449946374
10000,0.0051163890007675,0.0415078959620076,0.000288394216966074,0.0020084459466663,0.0142560389323662,0.0510859088763156
20000,0.00254083360210181,0.0267056140466056,0.000241413372596936,0.000592084690065884,0.0127013121492684,0.0371247702457483
1e+05,0.00100715410536218,0.00535336284731219,0.000301159457402027,0.000106483773970872,0.00720408581046523,0.00800699938338454
