"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.00680501389576195,0.0801452565709534,0.00041627109805118,0.00390634267965054,0.0286279365755709,0.103323449946374
10000,0.00502629649521363,0.0415078959620076,0.000288394309320407,0.0020084459466663,0.0142560389238112,0.0510859088763156
20000,0.00253780551037322,0.0267056140466056,0.00024141389795357,0.000592084690065884,0.0127013086370401,0.0371247702457483
1e+05,0.0010450375953732,0.00535336284731219,0.000301159000709403,0.000106483773970872,0.00720408495912244,0.00800699938338454
