"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.0185516290497356,0.0778009507479618,0.0146054289524772,0.0501034504403906,0.0196401481609287,0.0898527961103712
10000,0.008111564784314,0.05233271941815,0.0112637638409137,0.0357714078587834,0.00999044857128385,0.0610608978331815
20000,0.00838650440499026,0.0213912652624546,0.0080304963042176,0.00830919666574047,0.0107858336613622,0.0252374348910542
1e+05,0.00281392321143482,0.00680528178577458,0.00331774697529815,0.0168636205363445,0.00449914351690049,0.00470143153325234
