"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.0067622602511796,0.0801452565709534,0.000416271456346554,0.00390634267965054,0.0286279419389083,0.103323449946374
10000,0.00513186031027583,0.0415078959620076,0.00028839456374431,0.0020084459466663,0.0142560437001533,0.0510859088763156
20000,0.00251350692777632,0.0267056140466056,0.0002414138867,0.000592084690065884,0.0127013081516616,0.0371247702457483
1e+05,0.00101397032361143,0.00535336284731219,0.000301158952664706,0.000106483773970872,0.00720408470338131,0.00800699938338454
