"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.00687611648191946,0.0801452565709534,0.000416271924720754,0.00390634267965054,0.0286279269334707,0.103323449946374
10000,0.00516315128976875,0.0415078959620076,0.000288394479788085,0.0020084459466663,0.0142560386466926,0.0510859088763156
20000,0.00253742530811102,0.0267056140466056,0.000241413930761735,0.000592084690065884,0.0127013124692843,0.0371247702457483
1e+05,0.00101649252673171,0.00535336284731219,0.000301159210189152,0.000106483773970872,0.00720408582344269,0.00800699938338454
