"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.00687644736464359,0.0801452565709534,0.000416271565541982,0.00390634267965054,0.0286279392097706,0.103323449946374
10000,0.00507117461316903,0.0415078959620076,0.000288394368514094,0.0020084459466663,0.0142560438013537,0.0510859088763156
20000,0.00252763924205029,0.0267056140466056,0.000241413419098487,0.000592084690065884,0.0127013090649247,0.0371247702457483
1e+05,0.00102640297110674,0.00535336284731219,0.000301159117178657,0.000106483773970872,0.00720408191527876,0.00800699938338454
