"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.0184490838590315,0.0778009507479618,0.0146054329167023,0.0501034504403906,0.0196401486341682,0.0898527961103712
10000,0.00828060789320257,0.05233271941815,0.0112637627269358,0.0357714078587834,0.00999044822251656,0.0610608978331815
20000,0.00835559327153376,0.0213912652624546,0.00803049001598966,0.00830919666574047,0.0107858354028793,0.0252374348910542
1e+05,0.00280935943470139,0.00680528178577458,0.00331774649339994,0.0168636205363445,0.00449914392585976,0.00470143153325234
