"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.0185703288835834,0.0778009507479618,0.0146054290321413,0.0501034504403906,0.0196401466182826,0.0898527961103712
10000,0.00803946166864268,0.05233271941815,0.0112637648064361,0.0357714078587834,0.00999044948083119,0.0610608978331815
20000,0.00846926371388593,0.0213912652624546,0.00803049526790305,0.00830919666574047,0.0107858353053889,0.0252374348910542
1e+05,0.00283217570733534,0.00680528178577458,0.00331774706140901,0.0168636205363445,0.00449914234868877,0.00470143153325234
