"N","XRF","XBART","SRF","SBART","TRF","TBART"
5000,0.0185230183680156,0.0778009507479618,0.0146054253497611,0.0501034504403906,0.0196401459992414,0.0898527961103712
10000,0.0081443660794128,0.05233271941815,0.0112637656463348,0.0357714078587834,0.00999045221864198,0.0610608978331815
20000,0.00837599965027415,0.0213912652624546,0.00803049564705267,0.00830919666574047,0.01078583446537,0.0252374348910542
1e+05,0.002746182643476,0.00680528178577458,0.0033177488158998,0.0168636205363445,0.00449914462468091,0.00470143153325234
